id,title,author,publisher,date,abstract,citation,copyright_id,keywords,owner_user_id
1,"Elsmore, Allen County ","Nickell, Paige ","Kansas State University, The Chapman Center for Rural Studies",2017-09,"This paper shares the history and stories of those in the town of Elsmore, in Elsinore Township, Allen County, Kansas. The town was founded in 1866, and is still occupied today. In this paper, I used newspapers, field work, census data and Kansas directories.","Paige Nickell, “Elsmore, Allen County,” Chapman Center Research Collections, https://ccrsresearchcollections.omeka.net/items/show/200.",1,Allen County Danes Elsinore Elsmore Scandinavians twin towns ,1
2,"Colony, Anderson County ","Tinsley, Amber ","Kansas State University, The Chapman Center for Rural Studies",2012-09,"Originally called Divide, the town of Colony began as a tavern and later a depot on the Leavenworth, Lawrence, and Galveston railroad. In the early twentieth century, it was known as the ""Hay Capital of the World.""","Amber Tinsley, “Colony, Anderson County,” Chapman Center Research Collections, https://ccrsresearchcollections.omeka.net/items/show/136.",1,Agriculture  Anderson County  Colony Divide  Kansas Railroad ,1
3,"Kincaid, Anderson County ","Starkey, Emily","Kansas State University, The Chapman Center for Rural Studies",2017-09,"Kincaid, in Rich Township, Anderson County, Kansas had less than 200 people as of the 2010 U.S. Census. Once a year this number does a 100-fold increase because of the town’s annual “World’s Fair.”","Emily Starkey, “Kincaid, Anderson County,” Chapman Center Research Collections, https://ccrsresearchcollections.omeka.net/items/show/204.",1,Anderson Anderson County  fair  Kincaid Rich Township St. Louis and Emporia Railroad ,1
4,"St. Boniface, Scipio, Anderson County","Stevenson, Matthew","Kansas State University, The Chapman Center for Rural Studies",2011-03,"This is a study of the origins of St. Boniface Parish. The author takes you from the early beginnings founded by Jesuit missionaries as a territorial Catholic church serving displaced native Americans to a 600 acre subsistence farm and monastery run by the Carmelite Friars serving the German immigrants. St. Boniface still operates as a parish today and is located in the North of Anderson County, Kansas; just two miles East of highway 59 on 2350 road.","Matthew Stevenson, “St. Boniface, Scipio, Anderson County,” Chapman Center Research Collections, https://ccrsresearchcollections.omeka.net/items/show/13.",1,Anderson County Carmelite Jesuit Missionaries Pottawatomie Valley Scipio St.Boniface,1
5,"Atchison, Atchison County ","Franklin, Brent ","Kansas State University, The Chapman Center for Rural Studies",2011-03,"This study contains information about the first settlement called Atchison, Atchison County, in the year 1855. It includes historical accounts, both told by historians and in primary sources, and shows the earliest illustrations of the town. The study will be centered on the life of the small riverfront town during its first years as a pro-slave community and on the events that changed it from the pro-slave outlook to the free-state town you see today.","Brent Franklin, “Atchison, Atchison County,” Chapman Center Research Collections, https://ccrsresearchcollections.omeka.net/items/show/38.",1,Atchison New England Immigrant Aid Society Samuel Pomeroy George Million free-state The Great Detour,1
6,"Oak Mills, Atchison County","Grape, Hannah","Kansas State University, The Chapman Center for Rural Studies",2013-09,"This report contains historical journal references, history obtained through genealogical archives, investigative local folklore, maps spanning several decades, and photos and references from the author's personal knowledge and affiliation with the town of Oak Mills, located in Walnut Township, Atchison County.","Hannah Grape, “Oak Mills, Atchison County,” Chapman Center Research Collections, https://ccrsresearchcollections.omeka.net/items/show/123.",1,Kanza  Osage Oak Mills Atchison County Cow Island John Waddle,1
7,"Fort Scott, Bourbon County ","Blake, Daron","Kansas State University, The Chapman Center for Rural Studies",2011-09,"This paper examines the development of Fort Scott, Kansas from 1890 to 1920 and compares this small city with other towns in southeastern Kansas at the time. The diversification of industry brought by the railroad, combined with a stabilized population level, transformed Fort Scott into a small industrial city unique in southeastern Kansas for its strong sense of community of a smaller town and the industrial diversity of a larger city.","Daron Blake, “Fort Scott, Bourbon County,” Chapman Center Research Collections, https://ccrsresearchcollections.omeka.net/items/show/14.",1,Bourbon County William Cutler  Cherokee-Crawford Coal deposits Fort Scott Parkinson Sugar Works Gulf railroad ,1
8,"Hiattville, Bourbon County ","Davis, Jenee","Kansas State University, The Chapman Center for Rural Studies",2015-09,"This brief history of Hiattville uncovers its struggles to recover from a series of devastating fires, especially the fires of 1905 and 1913. Although a promising railroad town in Bourbon County in 1890s, by the 1920s, Hiattville was in a long, slow decline. This study relies on a county history, historical maps, and many newspaper articles.","Jenee Davis, “Hiattville, Bourbon County,” Chapman Center Research Collections, https://ccrsresearchcollections.omeka.net/items/show/167.",1,Bourbon County Fort Scott  Hiattville  Hiattville Weekly Optic Kansas School Unification Act Pawnee Township,1
9,"Hiattville, Bourbon County","Vincent, Katelyn","Kansas State University, The Chapman Center for Rural Studies",2012-09,"Hiattville was once a booming town, its population increasing from 50 to 500 in the 1880s. Many residents left after a 1905 fire, and the post office finally closed in 1986.","Katelyn Vincent, “Hiattville, Bourbon County,” Chapman Center Research Collections, https://ccrsresearchcollections.omeka.net/items/show/139.",1,Bourbon County Hiattville Pawnee Indians Railroad Kansas Fire,1
10,"Dogtrot-Galatia, Barton County","Schmidt, Keari","Kansas State University, The Chapman Center for Rural Studies",2011-09,"Galatia—originally Dogtrot—provided a center-place town for many dispensed people in Barton County. Some former residents still recall the bustling streets of this prairie community. In preserving its history, we also preserve the history of Kansas and other similar communities.","Keari Schmidt, “Dogtrot-Galatia, Barton County,” Chapman Center Research Collections, https://ccrsresearchcollections.omeka.net/items/show/49.",1,Barton County Dogtrot Fairview Cemetery Galatia German Immigrants Great Bend ,1
