document_id,metadata_id
1,1
2,1
3,2
4,2
5,3
6,3
7,4
8,4
9,5
10,5
11,6
12,6
13,7
14,7
15,8
16,8
17,9
18,9
19,10
20,10
21,11
22,11
23,12
24,12
25,13
28,13
31,16
32,16
33,17
34,17
35,18
36,18
37,19
38,19
39,20
40,20
41,21
42,21
43,22
44,22
45,22
46,22
47,23
48,23
49,24
50,24
51,25
52,25
53,26
54,26
55,27
56,27
57,28
58,28
59,29
60,29
61,30
62,30
63,31
64,31
65,32
66,32
67,32
68,32
69,32
70,32
71,32
72,33
73,33
74,33
75,33
76,34
77,34
78,35
79,35
80,36
81,36
82,37
83,37
84,38
85,38
,
88,39
89,39
90,40
91,40
92,40
93,41
94,41
95,42
96,42
97,43
98,43
99,44
100,44
101,45
102,45
103,46
104,46
105,47
106,47
107,48
108,48
109,49
110,49
111,49
112,50
113,50
114,51
115,51
116,52
117,52
118,53
119,53
120,54
121,54
122,55
123,55
124,56
125,56
126,56
127,57
128,57
129,58
130,58
131,59
132,59
133,60
134,60
135,61
136,61
137,62
138,62
139,63
140,63
141,64
142,64
143,65
144,65
145,65
146,66
147,66
148,67
149,67
150,68
151,68
152,69
153,69
154,70
155,70
156,71
157,71
158,72
159,72
160,73
161,73
162,74
163,74
164,75
165,75
166,76
167,76
168,77
169,77
170,78
171,78
172,79
173,79
174,80
175,80
176,81
177,81
178,82
179,82
180,83
181,83
182,83
183,84
184,84
185,85
186,85
187,86
188,86
189,87
190,87
191,88
192,88
193,89
194,89
195,90
196,90
197,90
198,90
199,90
200,91
201,91
202,92
203,92
204,93
205,93
206,94
207,94
208,95
209,95
210,96
211,96
212,97
213,97
214,98
215,98
216,99
217,99
218,100
219,100
220,101
221,101
222,101
223,102
224,102
225,103
226,103
227,104
228,104
229,105
230,105
231,106
233,106
235,108
236,108
237,109
238,109
239,110
240,110
241,111
242,111
243,112
244,112
245,113
246,113
247,114
248,114
249,115
250,115
251,115
252,116
253,116
254,117
256,117
258,119
259,119
260,120
262,120
264,122
265,122
266,123
267,123
268,124
269,124
270,125
271,125
272,126
273,126
274,127
275,127
276,128
277,128
278,129
279,129
,
281,130
282,130
283,131
284,131
285,132
286,132
287,132
288,133
290,133
292,135
293,135
294,136
295,136
296,137
297,137
298,138
299,138
300,139
301,139
302,140
303,140
304,141
305,141
306,142
307,142
308,143
309,143
310,144
311,144
312,145
313,145
314,146
315,146
316,147
317,147
318,148
319,148
320,149
321,149
322,150
323,150
324,151
325,151
326,152
327,152
328,153
329,153
330,154
331,154
332,155
333,155
334,156
335,156
336,156
337,156
338,157
339,157
340,158
341,158
342,159
343,159
344,160
345,160
346,160
347,161
348,161
349,162
350,162
351,162
352,163
353,163
354,164
355,164
356,165
357,165
358,166
359,166
360,167
361,167
362,168
363,168
364,169
365,169
366,170
367,170
368,171
369,171
370,172
371,172
372,173
373,173
374,174
375,174
376,175
377,175
378,176
379,176
380,177
381,177
382,178
383,178
384,179
385,179
386,180
387,180
388,181
389,181
390,182
391,182
